annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,True,9082,Ingegneria biomedica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9082,Cesena,Cesena,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9083,Educatore nei servizi per l'infanzia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9083,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9084,International relations,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9084,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,9085,"Politica, amministrazione e organizzazione",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9085,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,9140,Food safety and food risk management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9140,Bologna,"Parma, Reggio Emilia, Piacenza, Modena, Bologna",Scienze agro-alimentari,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,
2019/2020,True,9174,Specialized translation,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9174,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,9198,Ingegneria per l'ambiente e il territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9198,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9199,Ingegneria edile,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9199,Ravenna,Ravenna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9200,Sviluppo locale e globale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9200,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,9201,Ostetricia (abilitante alla professione sanitaria di ostetrica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9201,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9202,Economia e commercio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9202,Forlì,Forlì,Economia e management,Laurea,3,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,9203,Economia e management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9203,Forlì,Forlì,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,9205,Telecommunications engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9205,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9206,Pedagogia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9206,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,9210,Medicine and surgery,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9210,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,True,,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,9211,Genomics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9211,Bologna,Bologna,Farmacia e biotecnologie,Laurea,3,True,,Erogato in lingua straniera,Inglese,numero chiuso
