annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,True,8771,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8771,Forlì,Forlì,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,False,8772,Culture e tecniche della moda,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8772,Rimini,Rimini,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8773,Scienze filosofiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8773,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8774,Scienze e tecniche psicologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8774,Cesena,Cesena,Psicologia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,False,8775,Educatore nei servizi per l'infanzia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8775,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8776,Educatore sociale e culturale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8776,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8777,Educatore sociale e culturale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8777,Rimini,Rimini,Scienze dell’educazione e della formazione,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8780,Scienze dell'educazione permanente e della formazione continua,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8780,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8782,Relazioni internazionali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8782,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,False,8784,"Politica, amministrazione e organizzazione",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8784,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,8786,Sociologia e servizio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8786,Bologna,Bologna,Sociologia,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8829,Ingegneria dei processi e dei sistemi edilizi,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8829,Ravenna,Ravenna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8834,Acquacoltura e igiene delle produzioni ittiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8834,Cesena,Cesenatico,Medicina veterinaria,Laurea,3,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8835,Economics and finance ,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8835,Bologna,Bologna,Economia e management,Laurea,3,True,,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,8837,Discipline della musica e del teatro,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8837,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8838,Scienze del libro e del documento,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8838,Ravenna,Ravenna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8839,Resource economics and sustainable development ,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8839,Rimini,Rimini,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8840,Comunicazione pubblica e d'impresa,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8840,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,8842,Amministrazione e gestione d'impresa,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8842,Rimini,Rimini,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,8843,Management dell'economia sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8843,Forlì,Forlì,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8845,Scienze storiche e orientalistiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8845,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8847,Economia del turismo,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8847,Rimini,Rimini,Economia e management,Laurea,3,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,8848,Economia dell'impresa,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8848,Rimini,Rimini,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,False,8849,Beni culturali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8849,Ravenna,Ravenna,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,8850,Lettere,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8850,Bologna,Bologna,Studi umanistici,Laurea,3,True,Titolo multiplo (solo alcuni curricula),,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,8853,"Scienze politiche, sociali e internazionali",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8853,Bologna,Bologna,Scienze politiche,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8854,Quantitative finance,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8854,Bologna,Bologna,Scienze Statistiche,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8855,Archeologia e culture del mondo antico,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8855,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8856,Chimica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8856,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8857,Biologia marina,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8857,Ravenna,Ravenna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,8859,Biotecnologie mediche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8859,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8871,Economia aziendale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8871,Bologna,Bologna,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8872,"Finanza, assicurazioni e impresa",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8872,Rimini,Rimini,Scienze Statistiche,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,8873,Scienze statistiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8873,Bologna,Bologna,"Scienze Statistiche, Scienze",Laurea,3,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,8874,"Language, society and communication ",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8874,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8876,"Statistica, economia e impresa",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8876,Bologna,Bologna,Scienze Statistiche,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8877,"Scienze statistiche, finanziarie e attuariali",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8877,Rimini,Rimini,Scienze Statistiche,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,8878,Scienze delle professioni sanitarie della prevenzione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/8878,Bologna,Imola,Medicina e Chirurgia,Laurea Magistrale,2,False,,,Italiano,numero chiuso
